"Time","Patch","Age","myID","momID","dadID","Mate"
101,1,16,2230372,1973387,1101051,1825054
101,1,8,2449172,2240750,1717959,2001554
101,1,10,2377665,1631291,1309349,1679473
101,1,15,2257539,2026797,1487484,2210624
101,1,13,2301695,1934586,1900880,2308591
101,1,17,2220182,2009931,2001666,2072542
101,1,27,1962887,1710251,1714311,1753554
101,1,11,2357208,2104571,1660899,2246793
101,1,9,2404169,2153150,1986395,2167605
101,1,9,2415155,2160265,1467830,2272781
101,1,20,2128467,1692804,1507231,1916588
101,1,15,2268196,1470675,909632,2179291
101,1,18,2187839,1970312,1737346,1717310
102,1,10,2406078,1914875,1895780,2345490
102,1,13,2349047,2136642,1955148,1719332
102,1,15,2275421,1865703,1821939,2210259
102,1,30,1915262,1471442,1352328,1926180
102,1,10,2411298,2149156,1968881,2406751
102,1,16,2263338,1970724,1884264,1990326
102,1,8,2474807,2271287,2195484,2028094
102,1,10,2422404,1993143,1780535,2402384
102,1,9,2442388,1900775,1571057,2414669
102,1,23,2090537,1864554,1877424,1946492
102,1,19,2188176,993611,404157,2077591
102,1,9,2428724,2144781,1528181,2226059
103,1,21,2159527,1878458,1832477,1963821
103,1,9,2466326,2111350,1921190,2386835
103,1,22,2143519,1779421,1710409,2112875
103,1,8,2483376,2049744,1986395,2381048
103,1,11,2419371,2062402,2073801,2112875
103,1,10,2434682,2187421,2175727,2274618
103,1,16,2290737,2045578,1953675,1661544
103,1,14,2327121,2042663,2018444,2214497
103,1,10,2428709,2144781,1528181,2395154
103,1,12,2390875,2143442,2055381,2291577
103,1,8,2482838,2207274,1829905,2349008
103,1,33,1857886,1576788,1395704,1790353
103,1,8,2483332,2048209,2028738,2373894
104,1,8,2506617,1776879,1730614,1929778
104,1,29,1981917,1701665,1707487,1866632
104,1,9,2479657,2178572,1724612,2269123
104,1,11,2429801,1801081,1304780,1959807
104,1,8,2500859,1166604,1047494,1863215
104,1,13,2396795,1848148,1843508,2203794
104,1,15,2331152,1970671,1852490,2259387
104,1,15,2326431,1860791,1836788,2026532
104,1,35,1844411,1612048,1422888,1774723
105,1,10,2486705,2078025,1958331,2482187
105,1,11,2465416,1480610,1170327,2414328
105,1,18,2282827,1779353,1188625,1921732
105,1,18,2274332,2001260,1908980,2026416
105,1,10,2493891,2153022,2068108,2483475
105,1,22,2177996,1761889,1696123,2168454
105,1,8,2524113,1810102,1790353,2185998
105,1,17,2306302,1815854,1711401,1959807
105,1,11,2466029,1814498,1578783,2400347
105,1,9,2504651,1914875,1895780,2488713
105,1,26,2095962,1839717,1831700,2011494
105,1,14,2389100,2141814,1727285,2387741
105,1,14,2399821,2189490,2049016,1904969
105,1,11,2462962,2178313,1646884,1855829
105,1,10,2488134,2060831,2027552,2216711
105,1,17,2322371,2104861,2020895,2215950
105,1,18,2291563,1960636,1943222,1876107
105,1,14,2392588,1850629,1505532,2375667
105,1,27,2072817,1875573,1631997,1896439
105,1,12,2450031,2239514,2096197,2307511
105,1,17,2316307,1850629,1505532,2132928
105,1,26,2083797,1849304,1811541,1603306
106,1,15,2397923,2124958,2028094,2361115
106,1,11,2498570,2297041,2116053,2178892
106,1,10,2505673,2169510,1566315,2500272
106,1,47,1607232,1289909,882518,1457819
106,1,8,2550239,2162052,1566171,2507792
106,1,8,2561600,2290467,1994138,2088434
106,1,16,2358589,2142748,1962050,2003037
106,1,19,2288214,2053498,1833162,1967904
106,1,9,2536878,2128033,2140841,2426299
106,1,15,2386825,2083256,1960070,2328172
106,1,21,2235280,857307,784177,2114276
106,1,13,2445982,1763437,1663128,2398356
106,1,10,2503781,1928723,1850055,2221699
106,1,40,1758503,1417130,1300435,1722347
106,1,25,2136642,1891840,1452616,1955148
106,1,29,2032427,1800542,1501660,2004435
106,1,9,2525176,2300458,2192166,2481477
106,1,11,2483010,1951284,1494447,2304501
107,1,38,1844447,1329209,1076539,1805104
107,1,31,2013914,1737046,1621098,1239345
107,1,13,2466730,2045152,1190978,2401181
107,1,8,2571664,1860685,1062550,2312900
107,1,16,2376648,2063160,1673410,2241579
107,1,14,2436470,1921488,1719004,2401960
107,1,18,2340919,2045152,1190978,2296171
107,1,19,2308244,1618646,1621938,2193342
107,1,21,2259708,1882174,1544058,2220987
107,1,9,2556903,2102311,1827342,2215857
107,1,35,1924567,1677842,1533686,1863153
107,1,9,2565874,2118784,1101051,2217030
107,1,8,2584438,1784875,1417563,2288186
107,1,9,2547675,1849914,1805092,2413879
107,1,13,2463089,2188466,2143625,2022069
107,1,9,2553299,2145765,1567845,2206708
107,1,11,2509121,2129778,1847735,2387031
107,1,8,2586590,2242733,2004890,2400653
108,1,8,2600382,2386926,2328640,2614482
108,1,17,2386465,2031691,1993750,2336138
108,1,11,2531731,2280028,1637122,2233519
108,1,16,2421209,1979790,1939667,2127607
108,1,18,2375033,2166525,1715210,2167605
108,1,9,2575589,2370235,2165623,2436688
108,1,12,2521448,2300647,2304407,2188270
108,1,11,2542993,1830130,1724406,2530165
108,1,54,1480610,1269824,1208503,1170327
108,1,13,2488695,1784875,1417563,2153240
108,1,14,2453267,2084159,1824706,2442492
108,1,12,2510402,1997489,1557675,2067240
109,1,22,2296595,2077785,1056470,2230677
109,1,12,2541437,2290767,2227356,2468774
109,1,9,2616189,2210028,1848739,2463647
109,1,29,2107121,1683591,1004665,1853234
109,1,16,2435071,1913014,1621675,2275541
109,1,57,1447772,889424,870908,1393072
109,1,10,2593746,2400847,2138512,2057070
109,1,12,2531411,2299842,1874869,2191430
109,1,15,2451206,2133615,2117845,2357691
109,1,18,2375384,1725343,1681547,1639827
109,1,21,2305276,1736866,1625284,2085227
109,1,9,2596500,1573855,1453540,2141011
110,1,10,2620299,2415068,2244233,2611098
110,1,16,2469969,2198278,2160602,2413037
110,1,22,2313133,1862233,1806751,1909430
110,1,12,2560025,2221020,1987048,2060031
