"Time","Patch","Age","myID","momID","dadID","Mate"
500,61,11,44484835,42961179,41565262,43011159
500,61,26,43068211,36319919,34450593,42436592
500,61,16,44006430,41612877,40776521,42889740
500,61,35,42257503,40665825,36424313,42257674
500,61,8,44747663,43650277,43556767,43163646
500,61,9,44649854,43811190,43561302,43344655
500,61,17,43910326,39099615,36990246,43910325
500,61,14,44172827,41690001,41224448,43571500
500,61,11,44459947,43437476,42803005,42417375
500,61,13,44297433,43200347,41890726,44113409
500,61,45,41337036,40321188,38329111,40616245
500,61,9,44658853,43824593,40671715,44459440
500,64,13,44268910,42716280,39717625,43822078
500,64,8,44742900,43288460,41616895,43714626
500,64,21,43566048,41131160,40134262,42452999
500,64,8,44737756,43549492,43549793,44737471
500,67,16,44019135,42630177,41878861,41658813
500,67,11,44465301,43728592,43354212,42139342
500,67,12,44403384,43587233,42747754,43506295
500,70,41,41729073,38250126,37981071,41436060
500,70,21,43536365,42793771,42515085,43077132
500,70,10,44572546,42419876,40342611,43314412
500,70,34,42371965,40935522,39624034,40014365
500,70,12,44387893,42384645,42384545,43725200
500,70,31,42613811,41033420,41033356,42329784
500,70,11,44452515,43629001,43255168,42895098
500,70,8,44749566,42799430,42242413,44366409
500,70,36,42148960,41230889,39320757,41959114
500,73,10,44568007,43554309,42368736,43914559
500,73,8,44755338,42831517,42734720,44656867
500,73,24,43325061,42406747,42210933,41208893
500,73,12,44389263,43553426,43093857,42111498
500,118,32,42575492,40507889,39086497,42193496
500,118,9,44657970,43070686,42973229,44553966
500,118,44,41464132,40730175,40468916,41464118
500,118,9,44663847,43728592,43354212,43407894
500,121,23,43365605,42623690,42232516,40758305
500,121,9,44660260,43387318,42333834,44182593
500,124,8,44800273,43674331,41286813,44701315
500,124,11,44470360,42941938,41929964,44376615
500,124,11,44465723,42086666,41442698,43651783
500,127,57,40257866,39154030,38967681,37318642
500,127,25,43230545,42487931,42487892,43048736
500,127,13,44288137,41262945,41084657,44205382
500,127,15,44096768,37661198,37661345,44009928
500,127,16,44063318,43044387,42952282,43042703
500,127,25,43214498,41903761,41620515,42331585
500,127,8,44759766,43086931,41768735,43827747
500,127,17,43900393,41807508,41626691,43813827
500,127,8,44765589,43678456,43489601,43108768
500,127,11,44488339,43665616,43665609,44096218
500,130,18,43844901,42841860,42383636,43379852
500,130,11,44462785,43440422,42444245,44368300
500,175,19,43754637,40739813,40552896,43682274
500,175,37,42125729,41294521,40187078,42032831
500,175,9,44679465,43936057,43554660,42117158
500,175,10,44579376,43636082,41413637,44380682
500,175,13,44302360,40979637,40146962,44027619
500,175,12,44401296,41219670,39038544,44401320
500,175,9,44670141,42985373,41975807,44202152
500,175,24,43253338,40125320,38038754,42721839
500,178,19,43751329,43011447,41815141,42913193
500,178,21,43619487,42784260,42687559,41357026
500,181,18,43865528,42760559,41114646,41706636
500,181,19,43751121,42288640,42288498,43578983
500,181,24,43322545,40937123,40003019,43322499
500,181,23,43402398,42283480,42097816,40921893
500,181,8,44775189,42825694,42738197,44775357
500,181,12,44372737,43286412,42728549,44289268
500,184,39,41907178,40345291,39158065,41613780
500,184,8,44776638,43592400,43319656,43682899
500,184,30,42772783,42029715,41091864,40503786
500,184,9,44704112,43863008,41848399,43547425
500,184,9,44676942,43439777,42617006,42895218
500,187,37,42129168,41195056,37270662,41952565
500,187,23,43374868,37663173,37573036,42831215
500,232,11,44541768,43244607,42868708,42964595
500,232,10,44601538,43058671,41751098,43604476
500,232,25,43244607,39966403,39156122,42868708
500,235,19,43773396,41289039,37925466,42467686
500,235,25,43205237,42059102,40699348,42750617
500,235,8,44789307,43033651,41963655,44690865
500,238,18,43874747,42203404,41287927,41726851
500,238,11,44533235,43148760,42032380,44533165
500,241,46,41277775,39057396,38786870,40564083
500,241,20,43667415,41569056,40026263,42034461
500,241,9,44708296,42601011,42509292,44161036
500,244,9,44719479,43787757,43686489,44625769
500,244,9,44703730,42942924,42943090,44070045
500,244,9,44704054,43858354,43402518,43955240
500,244,8,44797141,41825289,38969643,43607549
500,289,14,44260239,42599700,40380105,43782771
500,289,32,42584915,41102493,37632731,41910116
500,289,13,44348461,43058377,42863624,44259602
500,289,37,42094260,41013138,39374618,41286813
500,289,19,43735108,42794052,42794236,43735222
500,292,30,42784631,41849014,41026521,41207840
500,292,20,43692053,42765090,41577629,43424555
500,292,11,44534339,43425124,41541361,43476976
500,292,49,40991844,38659631,36861251,40788695
500,292,27,43033651,41346412,41346420,41963655
500,292,10,44603859,43134107,42567556,41621848
500,292,32,42553312,41611608,40591188,41000380
500,295,16,44073912,43250968,42665875,43891300
500,295,13,44355504,43150541,43061397,44040108
500,298,9,44731100,42382831,42197743,43307254
500,298,19,43800243,43060491,42642871,42679736
500,298,42,41603716,40689867,39660732,40724434
