"Time","Patch","Age","myID","momID","dadID"
101,1,3,2557105,2289950,2182703
101,1,2,2586968,2266763,2193342
101,1,3,2547579,2006661,1476157
101,1,4,2536805,2031871,1718358
101,1,2,2587590,2246005,2092420
101,1,2,2594212,2379166,2068727
101,1,5,2521859,2305702,2322448
101,1,2,2576903,1912259,1507506
101,1,2,2572461,2371080,2244233
101,1,3,2548651,2320691,2268869
101,1,2,2592059,2156169,1981862
101,1,2,2572548,1543724,1374165
102,1,2,2606395,1727679,916809
102,1,3,2595189,2398991,2099321
102,1,2,2613508,2314253,2167095
102,1,3,2572962,2128796,1477806
102,1,3,2579523,2274332,2026416
102,1,2,2618504,2411394,2374216
102,1,2,2597196,2063859,1835151
102,1,2,2607275,2362042,2150072
102,1,2,2605933,2382663,1687186
102,1,2,2597468,2128467,1916588
102,1,2,2604894,2215063,2016114
102,1,2,2607460,2263973,1959982
102,1,2,2602590,2315924,2081461
103,1,4,2593127,2381029,1515744
103,1,4,2584444,1784875,1417563
103,1,4,2580400,1321713,1238004
103,1,2,2634821,2203212,2077879
103,1,2,2634869,2373030,2192166
103,1,2,2637362,1859636,1862329
103,1,2,2643864,2435570,1517948
103,1,2,2636853,2341749,2206345
104,1,4,2616450,2347880,1959982
104,1,2,2665051,2175539,2182492
104,1,2,2648839,2302003,2010022
104,1,2,2669692,2459429,2151783
104,1,2,2668504,2474517,2165159
104,1,2,2665084,2090878,2048772
104,1,2,2649142,2402274,2408603
104,1,3,2642969,2415310,2219660
104,1,2,2668917,2472983,2329852
104,1,2,2648323,2288531,1673410
105,1,2,2673840,2429696,2203924
105,1,3,2664544,2337784,1353931
105,1,2,2689985,2248295,1853234
105,1,2,2675168,2124452,2011301
105,1,3,2661477,2377701,2008136
105,1,2,2695504,2489604,2492166
105,1,2,2693421,2483140,2402929
105,1,2,2674238,2386825,2328172
105,1,2,2672998,2145654,2073865
105,1,2,2692989,2477527,2027256
105,1,3,2664224,2212007,1500333
105,1,2,2677446,2417810,1856715
105,1,3,2669934,2459613,2384212
105,1,2,2678001,2282562,2165623
105,1,5,2616414,2395950,1936743
105,1,3,2653855,2433455,1752825
105,1,3,2660730,2243072,2230356
105,1,2,2684555,2203212,2077879
106,1,3,2672038,2404041,2418237
106,1,2,2701987,2404332,2174415
106,1,2,2716290,2405135,2357898
106,1,4,2663026,2259798,2117845
106,1,2,2697022,2063859,1835151
106,1,2,2696202,2001927,1924375
106,1,5,2638515,2379678,2312900
106,1,3,2684430,2164738,1931415
107,1,2,2742534,2421882,2336943
107,1,2,2742552,2380870,2104236
107,1,3,2709069,2259159,2010022
107,1,2,2725070,2325437,2140974
107,1,2,2734503,2513714,2187048
107,1,2,2724429,2193590,1405810
107,1,3,2712211,2259708,2220987
107,1,3,2710143,2382942,1994960
107,1,3,2701355,2476264,2229641
107,1,3,2696001,2418015,2276671
107,1,2,2736202,2272256,1796872
108,1,3,2729777,2485643,2442172
108,1,2,2754878,1913014,1621675
108,1,2,2748816,1693199,1523288
108,1,2,2760894,2182517,2132622
108,1,2,2764874,2373228,2248469
108,1,3,2721669,2157430,2149887
108,1,2,2757059,2169547,1677358
108,1,4,2704922,2435959,2307261
108,1,3,2737281,2513440,2374734
108,1,2,2769792,2559716,2434315
108,1,3,2730658,2492243,1233558
108,1,2,2752586,2394128,2375806
109,1,3,2760598,2193937,2067240
109,1,2,2773690,2522434,2284523
109,1,2,2787340,2501515,2390636
109,1,2,2794991,2579322,2570706
109,1,3,2763102,2308260,2144796
109,1,2,2794543,2578726,2251020
110,1,2,2803418,2229100,2154234
110,1,2,2808767,2523369,2340518
110,1,5,2744270,2535514,2223063
110,1,3,2775894,1516890,1285839
111,1,2,2831019,2587728,2552658
111,1,4,2788513,2189867,1719637
111,1,2,2829565,2473989,1528310
111,1,3,2812464,2551659,2515304
111,1,2,2832881,2040995,1509819
111,1,3,2810338,2541437,2468774
111,1,3,2810483,2511654,2334456
111,1,4,2784078,2543112,2205070
111,1,2,2833954,2555269,2426490
112,1,3,2830398,2454250,2360019
112,1,3,2822779,2569897,2562705
112,1,2,2850542,2433455,1752825
112,1,4,2800663,2401872,2132083
112,1,3,2828117,2158717,1769355
112,1,3,2826211,2579692,2423460
112,1,3,2820024,2532691,2485573
112,1,3,2828326,2368575,2085014
112,1,2,2843021,2464673,2099321
113,1,4,2834825,2366905,1944206
113,1,4,2837674,2353857,2321392
113,1,5,2807003,2443573,2304177
113,1,4,2833123,2193709,2178892
113,1,2,2868022,1958552,1813901
113,1,2,2870663,1510204,1342296
113,1,3,2861108,2588194,2271770
113,1,2,2868636,2560633,2397985
114,1,2,2892938,2344868,2228478
114,1,4,2844468,1974552,1827342
114,1,6,2806878,2327099,1548912
114,1,3,2871857,2446879,2005990
114,1,4,2846503,2355983,2284280
114,1,2,2903170,2653651,2569719
114,1,5,2842292,2635155,2428999
114,1,2,2894390,2329865,2279797
114,1,2,2901314,2624911,2203493
114,1,2,2899299,2427120,2097961
114,1,3,2883322,2563671,2347940
114,1,5,2832180,2525832,2248194
114,1,2,2895228,2493160,1849980
114,1,3,2872867,2243701,1724612
114,1,4,2861984,2337913,2235427
114,1,6,2802858,2074677,2023994
114,1,6,2797771,2517712,2283127
